"","city","latitude","longitude"
"1033","Penn Valley",39.2,-121.19
"1034","Penngrove",38.3,-122.67
"1035","Penryn",38.85,-121.17
"1036","Perris city",33.79,-117.22
"1037","Pescadero",37.25,-122.37
"1038","Petaluma city",38.24,-122.63
"1039","Peters",37.98,-121.04
"1040","Phelan",34.44,-117.52
"1041","Phillipsville",40.21,-123.78
"1042","Philo",39.07,-123.45
"1043","Phoenix Lake",38.01,-120.31
"1044","Pi▒on Hills",34.44,-117.62
"1045","Pico Rivera city",33.99,-118.09
"1046","Piedmont city",37.82,-122.23
"1047","Pierpoint",36.14,-118.63
"1048","Pike",39.43,-121
"1049","Pine Canyon",36.18,-121.15
"1050","Pine Flat",35.87,-118.64
"1051","Pine Grove",38.41,-120.66
"1052","Pine Hills",40.73,-124.16
"1053","Pine Mountain Club",34.84,-119.17
"1054","Pine Mountain Lake",37.86,-120.18
"1055","Pine Valley",32.84,-116.51
"1056","Pinole city",38.01,-122.32
"1057","Pioneer",38.44,-120.58
"1058","Piru",34.41,-118.8
"1059","Pismo Beach city",35.14,-120.67
"1060","Pittsburg city",38.02,-121.9
"1061","Pixley",35.98,-119.29
"1062","Placentia city",33.88,-117.86
"1063","Placerville city",38.73,-120.8
"1064","Plainview",36.14,-119.14
"1065","Planada",37.29,-120.32
"1066","Pleasant Hill city",37.95,-122.08
"1067","Pleasanton city",37.67,-121.88
"1068","Pleasure Point",36.96,-121.97
"1069","Plumas Eureka",39.8,-120.66
"1070","Plumas Lake",38.99,-121.56
"1071","Plymouth city",38.48,-120.84
"1072","Point Arena city",38.91,-123.7
"1073","Point Reyes Station",38.08,-122.81
"1074","Pollock Pines",38.76,-120.59
"1075","Pomona city",34.06,-117.76
"1076","Ponderosa",36.11,-118.53
"1077","Poplar-Cotton Center",36.06,-119.15
"1078","Port Costa",38.04,-122.18
"1079","Port Hueneme city",34.16,-119.2
"1080","Porterville city",36.06,-119.03
"1081","Portola city",39.82,-120.47
"1082","Portola Valley town",37.37,-122.22
"1083","Posey",35.8,-118.68
"1084","Poso Park",35.81,-118.64
"1085","Potrero",32.61,-116.61
"1086","Potter Valley",39.32,-123.11
"1087","Poway city",32.99,-117.02
"1088","Prattville",40.21,-121.16
"1089","Princeton",39.4,-122.02
"1090","Proberta",40.08,-122.18
"1091","Prunedale",36.81,-121.66
"1092","Quartz Hill",34.65,-118.22
"1093","Quincy",39.93,-120.95
"1094","Rackerby",39.43,-121.35
"1095","Rail Road Flat",38.32,-120.49
"1096","Rainbow",33.41,-117.14
"1097","Raisin City",36.6,-119.91
"1098","Ramona",33.05,-116.88
"1099","Rancho Calaveras",38.12,-120.86
"1100","Rancho Cordova city",38.57,-121.25
"1101","Rancho Cucamonga city",34.12,-117.57
"1102","Rancho Mirage city",33.76,-116.43
"1103","Rancho Murieta",38.51,-121.07
"1104","Rancho Palos Verdes city",33.76,-118.36
"1105","Rancho San Diego",32.76,-116.92
"1106","Rancho Santa Fe",33.02,-117.2
"1107","Rancho Santa Margarita city",33.63,-117.6
"1108","Rancho Tehama Reserve",40,-122.44
"1109","Randsburg",35.37,-117.66
"1110","Red Bluff city",40.17,-122.24
"1111","Red Corral",38.41,-120.61
"1112","Redcrest",40.4,-123.95
"1113","Redding city",40.57,-122.37
"1114","Redlands city",34.05,-117.17
"1115","Redondo Beach city",33.86,-118.38
"1116","Redway",40.12,-123.82
"1117","Redwood City city",37.52,-122.21
"1118","Redwood Valley",39.27,-123.2
"1119","Reedley city",36.6,-119.45
"1120","Reliez Valley",37.94,-122.1
"1121","Rialto city",34.11,-117.39
"1122","Richfield",39.97,-122.17
"1123","Richgrove",35.8,-119.11
"1124","Richmond city",37.95,-122.36
"1125","Richvale",39.49,-121.75
"1126","Ridgecrest city",35.63,-117.66
"1127","Ridgemark",36.81,-121.36
"1128","Rio del Mar",36.96,-121.88
"1129","Rio Dell city",40.5,-124.11
"1130","Rio Linda",38.69,-121.44
"1131","Rio Oso",38.95,-121.53
"1132","Rio Vista city",38.18,-121.7
"1133","Ripley",33.52,-114.65
"1134","Ripon city",37.74,-121.13
"1135","River Pines",38.55,-120.75
"1136","Riverbank city",37.73,-120.94
"1137","Riverdale",36.43,-119.87
"1138","Riverdale Park",37.6,-121.04
"1139","Riverside city",33.94,-117.39
"1140","Robbins",38.87,-121.71
"1141","Robinson Mill",39.49,-121.32
"1142","Rocklin city",38.81,-121.25
"1143","Rodeo",38.04,-122.25
"1144","Rodriguez Camp",35.81,-119.14
"1145","Rohnert Park city",38.35,-122.7
"1146","Rolling Hills",36.9,-119.8
"1147","Rolling Hills city",33.76,-118.35
"1148","Rolling Hills Estates city",33.78,-118.35
"1149","Rollingwood",37.97,-122.33
"1150","Romoland",33.76,-117.16
"1151","Rosamond",34.87,-118.22
"1152","Rose Hills",34.01,-118.04
"1153","Rosedale",35.39,-119.2
"1154","Roseland",38.42,-122.73
"1155","Rosemead city",34.07,-118.08
"1156","Rosemont",38.55,-121.36
"1157","Roseville city",38.77,-121.3
"1158","Ross town",37.96,-122.56
"1159","Rossmoor",33.79,-118.08
"1160","Rough and Ready",39.23,-121.14
"1161","Round Mountain",40.8,-121.94
"1162","Round Valley",37.41,-118.58
"1163","Rouse",37.62,-121.01
"1164","Rowland Heights",33.97,-117.89
"1165","Rubidoux",33.99,-117.42
"1166","Running Springs",34.21,-117.11
"1167","Ruth",40.29,-123.35
"1168","Rutherford",38.46,-122.42
"1169","Sacramento city",38.57,-121.47
"1170","Salida",37.72,-121.09
"1171","Salinas city",36.69,-121.63
"1172","Salmon Creek",38.35,-123.06
"1173","Salton City",33.3,-115.96
"1174","Salton Sea Beach",33.38,-116.01
"1175","Samoa",40.81,-124.19
"1176","San Andreas",38.19,-120.68
"1177","San Anselmo town",37.98,-122.57
"1178","San Antonio Heights",34.16,-117.66
"1179","San Ardo",36.02,-120.91
"1180","San Bernardino city",34.14,-117.3
"1181","San Bruno city",37.63,-122.43
"1182","San Buenaventura (Ventura) city",34.27,-119.25
"1183","San Carlos city",37.5,-122.27
"1184","San Clemente city",33.45,-117.61
"1185","San Diego city",32.82,-117.13
"1186","San Diego Country Estates",33.01,-116.79
"1187","San Dimas city",34.11,-117.81
"1188","San Fernando city",34.29,-118.44
"1189","San Francisco city",37.76,-122.69
"1190","San Gabriel city",34.09,-118.1
"1191","San Geronimo",38.01,-122.66
"1192","San Jacinto city",33.8,-116.99
"1193","San Joaquin city",36.61,-120.19
"1194","San Jose city",37.3,-121.85
"1195","San Juan Bautista city",36.85,-121.54
"1196","San Juan Capistrano city",33.5,-117.65
"1197","San Leandro city",37.7,-122.16
"1198","San Lorenzo",37.67,-122.13
"1199","San Lucas",36.13,-121.02
"1200","San Luis Obispo city",35.27,-120.67
"1201","San Marcos city",33.13,-117.17
"1202","San Marino city",34.12,-118.11
"1203","San Martin",37.08,-121.6
"1204","San Mateo city",37.56,-122.31
"1205","San Miguel",37.89,-122.04
"1206","San Miguel",35.75,-120.69
"1207","San Pablo city",37.96,-122.34
"1208","San Pasqual",34.14,-118.1
"1209","San Rafael city",37.98,-122.51
"1210","San Ramon city",37.76,-121.94
"1211","San Simeon",35.62,-121.14
"1212","Sand City city",36.63,-121.86
"1213","Sanger city",36.7,-119.56
"1214","Santa Ana city",33.74,-117.88
"1215","Santa Barbara city",34.4,-119.71
"1216","Santa Clara city",37.36,-121.97
"1217","Santa Clarita city",34.41,-118.5
"1218","Santa Cruz city",36.97,-122.04
"1219","Santa Fe Springs city",33.93,-118.06
"1220","Santa Margarita",35.39,-120.61
"1221","Santa Maria city",34.93,-120.44
"1222","Santa Monica city",34.02,-118.48
"1223","Santa Nella",37.1,-121.02
"1224","Santa Paula city",34.35,-119.07
"1225","Santa Rosa city",38.45,-122.71
"1226","Santa Rosa Valley",34.25,-118.9
"1227","Santa Susana",34.26,-118.67
"1228","Santa Venetia",38.01,-122.5
"1229","Santa Ynez",34.62,-120.09
"1230","Santee city",32.86,-116.98
"1231","Saranap",37.89,-122.08
"1232","Saratoga city",37.27,-122.03
"1233","Saticoy",34.28,-119.15
"1234","Sattley",39.63,-120.44
"1235","Sausalito city",37.86,-122.49
"1236","Scotia",40.48,-124.1
"1237","Scotts Valley city",37.06,-122.01
"1238","Sea Ranch",38.72,-123.45
"1239","Seacliff",36.98,-121.92
"1240","Seal Beach city",33.75,-118.07
"1241","Searles Valley",35.77,-117.4
"1242","Seaside city",36.62,-121.82
"1243","Sebastopol city",38.4,-122.83
"1244","Seeley",32.79,-115.68
"1245","Selma city",36.57,-119.62
"1246","Sequoia Crest",36.19,-118.63
"1247","Sereno del Mar",38.38,-123.07
"1248","Seville",36.49,-119.22
"1249","Shackelford",37.61,-120.99
"1250","Shafter city",35.48,-119.2
"1251","Shandon",35.65,-120.38
"1252","Shasta",40.59,-122.48
"1253","Shasta Lake city",40.68,-122.38
"1254","Shaver Lake",37.1,-119.32
"1255","Shell Ridge",37.91,-122.03
"1256","Shelter Cove",40.04,-124.06
"1257","Sheridan",38.97,-121.36
"1258","Shingle Springs",38.67,-120.94
"1259","Shingletown",40.5,-121.86
"1260","Shoshone",35.95,-116.31
"1261","Sierra Brooks",39.64,-120.22
"1262","Sierra City",39.57,-120.63
"1263","Sierra Madre city",34.17,-118.05
"1264","Sierra Village",38.08,-120.16
"1265","Sierraville",39.58,-120.36
"1266","Signal Hill city",33.8,-118.17
"1267","Silver City",36.46,-118.65
"1268","Silver Lakes",34.75,-117.34
"1269","Silverado Resort",38.35,-122.26
"1270","Simi Valley city",34.27,-118.75
"1271","Sisquoc",34.86,-120.29
"1272","Sky Valley",33.89,-116.35
"1273","Sleepy Hollow",38.01,-122.59
"1274","Smartsville",39.21,-121.29
"1275","Smith Corner",35.48,-119.28
"1276","Smith River",41.92,-124.15
"1277","Snelling",37.52,-120.44
"1278","Soda Bay",39,-122.78
"1279","Soda Springs",39.32,-120.38
"1280","Solana Beach city",32.99,-117.26
"1281","Soledad city",36.44,-121.34
"1282","Solvang city",34.59,-120.14
"1283","Sonoma city",38.29,-122.46
"1284","Sonora city",37.98,-120.38
"1285","Soquel",37,-121.95
"1286","Soulsbyville",37.99,-120.26
"1287","South Dos Palos",36.97,-120.65
"1288","South El Monte city",34.05,-118.05
"1289","South Gate city",33.94,-118.19
"1290","South Lake Tahoe city",38.94,-119.98
"1291","South Monrovia Island",34.12,-118
"1292","South Oroville",39.48,-121.54
"1293","South Pasadena city",34.11,-118.16
"1294","South San Francisco city",37.65,-122.34
"1295","South San Gabriel",34.05,-118.1
"1296","South San Jose Hills",34.01,-117.9
"1297","South Taft",35.13,-119.46
"1298","South Whittier",33.93,-118.03
"1299","Spaulding",40.66,-120.79
"1300","Spreckels",36.62,-121.65
"1301","Spring Garden",39.9,-120.79
"1302","Spring Valley",32.73,-116.98
"1303","Spring Valley",39.08,-122.6
"1304","Spring Valley Lake",34.5,-117.27
"1305","Springville",36.12,-118.83
"1306","Squaw Valley",36.69,-119.2
"1307","Squirrel Mountain Valley",35.62,-118.41
"1308","St. Helena city",38.5,-122.47
"1309","Stallion Springs",35.09,-118.65
"1310","Stanford",37.43,-122.17
"1311","Stanton city",33.8,-117.99
"1312","Stevenson Ranch",34.39,-118.59
"1313","Stevinson",37.32,-120.85
"1314","Stinson Beach",37.91,-122.65
"1315","Stirling City",39.91,-121.54
"1316","Stockton city",37.98,-121.31
"1317","Stonyford",39.37,-122.54
"1318","Storrie",39.92,-121.32
"1319","Stratford",36.19,-119.82
"1320","Strathmore",36.14,-119.06
"1321","Strawberry",37.89,-122.51
"1322","Strawberry",38.2,-120.01
"1323","Sugarloaf Mountain Park",35.84,-118.6
"1324","Sugarloaf Saw Mill",35.83,-118.62
"1325","Sugarloaf Village",35.83,-118.64
"1326","Suisun City city",38.25,-122.01
"1327","Sultana",36.55,-119.34
"1328","Summerland",34.43,-119.59
"1329","Sun Village",34.56,-117.96
"1330","Sunny Slopes",37.57,-118.68
"1331","Sunnyside",36.73,-119.69
"1332","Sunnyside-Tahoe City",39.15,-120.16
"1333","Sunnyslope",34.02,-117.43
"1334","Sunnyvale city",37.39,-122.03
"1335","Sunol",37.59,-121.89
"1336","Sunset Beach",33.72,-118.07
"1337","Susanville city",40.42,-120.61
"1338","Sutter",39.16,-121.75
"1339","Sutter Creek city",38.38,-120.81
"1340","Swall Meadows",37.51,-118.64
"1341","Taft city",35.13,-119.42
"1342","Taft Heights",35.13,-119.47
"1343","Taft Mosswood",37.91,-121.28
"1344","Tahoe Vista",39.25,-120.05
"1345","Tahoma",39.06,-120.14
"1346","Talmage",39.13,-123.16
"1347","Tamalpais-Homestead Valley",37.88,-122.54
"1348","Tara Hills",37.99,-122.32
"1349","Tarpey Village",36.79,-119.7
"1350","Taylorsville",40.06,-120.84
"1351","Tecopa",35.84,-116.21
"1352","Tehachapi city",35.13,-118.48
"1353","Tehama city",40.02,-122.13
"1354","Temecula city",33.5,-117.12
"1355","Temelec",38.26,-122.5
"1356","Temescal Valley",33.76,-117.47
"1357","Temple City city",34.1,-118.06
"1358","Templeton",35.56,-120.72
"1359","Tennant",41.58,-121.91
"1360","Terminous",38.12,-121.49
"1361","Terra Bella",35.96,-119.03
"1362","Teviston",35.93,-119.28
"1363","Thermal",33.63,-116.13
"1364","Thermalito",39.49,-121.62
"1365","Thornton",38.23,-121.43
"1366","Thousand Oaks city",34.19,-118.87
"1367","Thousand Palms",33.81,-116.35
"1368","Three Rivers",36.43,-118.88
"1369","Three Rocks",36.51,-120.39
"1370","Tiburon town",37.89,-122.45
"1371","Timber Cove",38.54,-123.26
"1372","Tipton",36.06,-119.31
"1373","Tobin",39.94,-121.3
"1374","Tomales",38.25,-122.91
"1375","Tonyville",36.25,-119.09
"1376","Tooleville",36.29,-119.12
"1377","Topanga",34.1,-118.61
"1378","Topaz",38.66,-119.53
"1379","Toro Canyon",34.42,-119.56
"1380","Torrance city",33.83,-118.34
"1381","Tracy city",37.72,-121.44
"1382","Tranquillity",36.65,-120.25
"1383","Traver",36.45,-119.48
"1384","Tres Pinos",36.79,-121.31
"1385","Trinidad city",41.06,-124.14
"1386","Trinity Center",40.98,-122.71
"1387","Trinity Village",40.88,-123.51
"1388","Trona",35.81,-117.34
"1389","Trowbridge",38.93,-121.51
"1390","Truckee town",39.35,-120.18
"1391","Tulare city",36.2,-119.34
"1392","Tulelake city",41.95,-121.48
"1393","Tuolumne City",37.96,-120.24
"1394","Tupman",35.3,-119.36
"1395","Turlock city",37.51,-120.86
"1396","Tustin city",33.73,-117.81
"1397","Tuttle",37.3,-120.38
"1398","Tuttletown",38,-120.45
"1399","Twain",40.04,-121.04
"1400","Twain Harte",38.04,-120.23
"1401","Twentynine Palms city",34.15,-116.07
"1402","Twin Lakes",36.96,-121.99
"1403","Ukiah city",39.15,-123.21
"1404","Union City city",37.6,-122.02
"1405","University of California Davis",38.54,-121.76
"1406","University of California Merced",37.37,-120.42
"1407","Upland city",34.12,-117.66
"1408","Upper Lake",39.17,-122.91
"1409","Vacaville city",38.36,-121.97
"1410","Val Verde",34.45,-118.67
"1411","Valinda",34.04,-117.93
"1412","Valle Vista",33.74,-116.89
"1413","Vallecito",38.07,-120.46
"1414","Vallejo city",38.11,-122.26
"1415","Valley Acres",35.21,-119.41
"1416","Valley Center",33.23,-117.02
"1417","Valley Ford",38.32,-122.91
"1418","Valley Home",37.83,-120.92
"1419","Valley Ranch",39.74,-120.56
"1420","Valley Springs",38.18,-120.82
"1421","Valley Wells",35.88,-117.34
"1422","Vandenberg AFB",34.75,-120.52
"1423","Vandenberg Village",34.71,-120.46
"1424","Verdi",39.52,-120.02
"1425","Vernon city",34,-118.21
"1426","Victor",38.14,-121.2
"1427","Victorville city",34.53,-117.35
"1428","View Park-Windsor Hills",34,-118.35
"1429","Villa Park city",33.82,-117.81
"1430","Vina",39.93,-122.05
"1431","Vincent",34.1,-117.92
"1432","Vine Hill",38.01,-122.09
"1433","Vineyard",38.47,-121.32
"1434","Visalia city",36.33,-119.33
"1435","Vista city",33.19,-117.24
"1436","Vista Santa Rosa",33.62,-116.21
"1437","Volcano",38.45,-120.63
"1438","Volta",37.09,-120.92
"1439","Walker",38.53,-119.46
"1440","Wallace",38.2,-120.96
"1441","Walnut city",34.03,-117.86
"1442","Walnut Creek city",37.9,-122.04
"1443","Walnut Grove",38.25,-121.53
"1444","Walnut Park",33.97,-118.22
"1445","Warm Springs",33.7,-117.33
"1446","Warner Valley",40.4,-121.32
"1447","Wasco city",35.59,-119.37
"1448","Washington",39.36,-120.79
"1449","Waterford city",37.64,-120.76
"1450","Waterloo",38.04,-121.18
"1451","Watsonville city",36.92,-121.77
"1452","Waukena",36.14,-119.51
"1453","Wawona",37.55,-119.64
"1454","Weaverville",40.75,-122.93
"1455","Weed city",41.41,-122.38
"1456","Weedpatch",35.24,-118.91
"1457","Weldon",35.64,-118.31
"1458","Weott",40.32,-123.92
"1459","West Athens",33.92,-118.3
"1460","West Bishop",37.36,-118.45
"1461","West Carson",33.82,-118.29
"1462","West Covina city",34.06,-117.91
"1463","West Goshen",36.35,-119.45
"1464","West Hollywood city",34.09,-118.37
"1465","West Menlo Park",37.43,-122.2
"1466","West Modesto",37.62,-121.04
"1467","West Park",36.71,-119.85
"1468","West Point",38.4,-120.54
"1469","West Puente Valley",34.05,-117.97
"1470","West Rancho Dominguez",33.89,-118.27
"1471","West Sacramento city",38.56,-121.55
"1472","West Whittier-Los Nietos",33.98,-118.07
"1473","Westhaven-Moonstone",41.04,-124.1
"1474","Westlake Village city",34.14,-118.82
"1475","Westley",37.55,-121.21
"1476","Westminster city",33.75,-117.99
"1477","Westmont",33.94,-118.3
"1478","Westmorland city",33.04,-115.62
"1479","Westwood",40.3,-121
"1480","Wheatland city",39.01,-121.43
"1481","Whitehawk",39.72,-120.55
"1482","Whitewater",33.94,-116.69
"1483","Whitley Gardens",35.66,-120.51
"1484","Whittier city",33.97,-118.02
"1485","Wildomar city",33.62,-117.26
"1486","Wilkerson",37.28,-118.39
"1487","Williams city",39.15,-122.14
"1488","Willits city",39.4,-123.35
"1489","Willow Creek",40.94,-123.64
"1490","Willowbrook",33.92,-118.25
"1491","Willows city",39.51,-122.2
"1492","Wilsonia",36.73,-118.96
"1493","Wilton",38.41,-121.21
"1494","Winchester",33.71,-117.08
"1495","Windsor town",38.54,-122.81
"1496","Winter Gardens",32.84,-116.93
"1497","Winterhaven",32.74,-114.64
"1498","Winters city",38.53,-121.98
"1499","Winton",37.39,-120.62
"1500","Wofford Heights",35.71,-118.47
"1501","Woodacre",38.01,-122.64
"1502","Woodbridge",38.17,-121.31
"1503","Woodcrest",33.88,-117.37
"1504","Woodlake city",36.41,-119.1
"1505","Woodland city",38.67,-121.75
"1506","Woodlands",35.03,-120.55
"1507","Woodside town",37.42,-122.26
"1508","Woodville",36.09,-119.2
"1509","Wrightwood",34.35,-117.63
"1510","Yankee Hill",39.7,-121.51
"1511","Yettem",36.49,-119.25
"1512","Yolo",38.74,-121.81
"1513","Yorba Linda city",33.89,-117.77
"1514","Yosemite Lakes",37.19,-119.77
"1515","Yosemite Valley",37.74,-119.58
"1516","Yountville city",38.4,-122.37
"1517","Yreka city",41.73,-122.63
"1518","Yuba City city",39.14,-121.64
"1519","Yucaipa city",34.03,-117.04
"1520","Yucca Valley town",34.12,-116.42
"1521","Zayante",37.09,-122.04
